Metric,1.0,0.25
precision,0.5175281237939071,0.3648972229338895
recall,0.35770035642813314,0.15788469727718266
mAP@.5,0.36539226596427926,0.14442385232475316
mAP@.5-.95,0.20498353142102577,0.06907414959715359
loss1,0.04667871072888374,0.05891802906990051
loss2,0.055917009711265564,0.062080156058073044
loss3,0.026340404525399208,0.046560656279325485
setup_time,0.4338862419128418,0.39108834266662595
inference_time,112.02188038825989,47.59993968009948
nms_time,17.085869312286377,24.666902828216553
